year,chamber_original,chamber,treatment,date_in,date_out,age,n_larvae,settled,swim,dead,pc_set,pc_dead
2021,22,34,SD,28/04/2021,07/05/2021,8,40,33,3,4,82.5,10
2021,23,36,SD,28/04/2021,07/05/2021,8,40,22,2,16,55,40
2021,24,40,SD,28/04/2021,07/05/2021,8,40,27,3,10,67.5,25
2021,8,15,SD,26/04/2021,28/06/2021,60,40,31,0,9,77.5,22.5
2021,9,17,SD,26/04/2021,28/06/2021,60,40,28,0,12,70,30
2021,10,20,SD,26/04/2021,28/06/2021,60,40,22,0,18,55,45
2021,2,2,SS,28/04/2021,07/05/2021,8,40,24,3,13,60,32.5
2021,3,5,SS,28/04/2021,07/05/2021,8,40,31,3,6,77.5,15
2021,4,8,SS,28/04/2021,07/05/2021,8,40,23,12,5,57.5,12.5
2021,5,11,SS,26/04/2021,28/06/2021,60,40,17,0,23,42.5,57.5
2021,6,12,SS,26/04/2021,28/06/2021,60,40,19,0,21,47.5,52.5
2021,7,13,SS,26/04/2021,28/06/2021,60,40,20,0,20,50,50
2022,25,44,DD,18/05/2022,26/05/2022,8,10,0,9,1,0,10
2022,26,45,DD,18/05/2022,26/05/2022,8,10,5,2,3,50,30
2022,27,47,DD,18/05/2022,26/05/2022,8,10,0,10,0,0,0
2022,25,44,DD,18/05/2022,14/07/2022,60,10,0,0,10,0,100
2022,26,46,DD,18/05/2022,14/07/2022,60,10,3,0,7,30,70
2022,27,48,DD,18/05/2022,14/07/2022,60,10,0,0,10,0,100
2022,28,49,DD,18/05/2022,14/07/2022,60,10,0,0,10,0,100
2022,22,35,DS,18/05/2022,26/05/2022,8,10,3,4,3,30,30
2022,23,38,DS,18/05/2022,26/05/2022,8,10,3,3,4,30,40
2022,24,42,DS,18/05/2022,26/05/2022,8,10,2,2,6,20,60
2022,19,32,DS,18/05/2022,14/07/2022,60,10,0,0,10,0,100
2022,20,33,DS,18/05/2022,14/07/2022,60,10,0,0,10,0,100
2022,23,39,DS,18/05/2022,14/07/2022,60,10,1,0,9,10,90
2022,24,43,DS,18/05/2022,14/07/2022,60,10,1,0,9,10,90
2022,4,9,SD,22/03/2022,29/03/2022,8,10,3,0,7,30,70
2022,9,18,SD,22/03/2022,29/03/2022,8,10,5,1,4,50,40
2022,13,24,SD,22/03/2022,29/03/2022,8,10,3,1,6,30,60
2022,13,25,SD,18/05/2022,26/05/2022,8,10,6,0,4,60,40
2022,14,26,SD,18/05/2022,26/05/2022,8,10,6,0,4,60,40
2022,15,27,SD,18/05/2022,26/05/2022,8,10,7,0,3,70,30
2022,10,21,SD,18/05/2022,13/07/2022,60,10,8,0,2,80,20
2022,11,22,SD,18/05/2022,13/07/2022,60,10,6,0,4,60,40
2022,12,23,SD,18/05/2022,13/07/2022,60,10,8,0,2,80,20
2022,17,28,SD,22/03/2022,22/05/2022,60,10,2,0,8,20,80
2022,18,29,SD,22/03/2022,22/05/2022,60,10,1,0,9,10,90
2022,19,31,SD,22/03/2022,22/05/2022,60,10,8,0,2,80,20
2022,2,4,SS,18/05/2022,26/05/2022,8,10,3,4,3,30,30
2022,3,7,SS,18/05/2022,26/05/2022,8,10,4,4,2,40,20
2022,4,10,SS,18/05/2022,26/05/2022,8,10,8,2,0,80,0
2022,19,30,SS,22/03/2022,29/03/2022,8,10,4,0,6,40,60
2022,23,37,SS,22/03/2022,29/03/2022,8,10,6,0,4,60,40
2022,24,41,SS,22/03/2022,29/03/2022,8,10,5,0,5,50,50
2022,1,1,SS,22/03/2022,22/05/2022,60,10,7,0,3,70,30
2022,2,3,SS,22/03/2022,22/05/2022,60,10,6,0,4,60,40
2022,3,6,SS,22/03/2022,22/05/2022,60,10,5,0,5,50,50
2022,7,14,SS,18/05/2022,14/07/2022,60,10,1,0,9,10,90
2022,8,16,SS,18/05/2022,14/07/2022,60,10,6,0,4,60,40
2022,9,19,SS,18/05/2022,14/07/2022,60,10,2,0,8,20,80